Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
50,47,57,38,Dogwood,"HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",GDIT/NOAA/WCOSS,HPE,United States,2020,Government,"327,680",,"10,013.00","11,796.48","8,413,184",,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",HPE Cray OS,Linux,None,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,"50,879",179945
51,48,57,39,Earth Simulator -SX-Aurora TSUBASA,"SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200",Japan Agency for Marine-Earth Science and Technology,NEC,Japan,2021,Research,"43,776",,"9,990.70","13,447.99","5,571,072",,747.80,"1,390.95",Submitted,7.18,,Cluster,Vector Engine Type20B 8C 1.6GHz,NEC Vector Engine,"1,600",VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA B401-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR200,Asia,"49,318",179927
52,49,57,40,Amazon EC2 Instance Cluster us-east-1a,"Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",Descartes Labs,Amazon Web Services,United States,2019,Industry,"172,692",,"9,950.26","15,106.52","7,864,320",,,,,,,Cluster,Xeon Platinum 8124M 18C 3GHz,Intel Skylake,"3,000",Amazon Linux 2,Linux,None,18,Xeon Platinum,Amazon EC2 r5.24xlarge,Amazon EC2,Gigabit Ethernet,25G Ethernet,North America,"50,808",179974
53,50,57,41,NVIDIA Cambridge-1 DGX SuperPOD,"NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR",NVIDIA Corporation,Nvidia,United States,2021,Vendor,"79,360","69,120","9,682.00","12,047.00","2,515,968",,251.00,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Ubuntu 20.04.1 LTS,Linux,NVIDIA A100 80GB​,64,AMD Rome,NVIDIA DGX A100,NVIDIA DGX,Infiniband,Infiniband HDR,North America,"48,448",179960
54,,59,54,,"Apollo 6500, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",Research Institute,HPE,Japan,2022,Research,"72,384","67,392","9,459.00","9,669.30","2,505,216",,199.76,,,,,Cluster,AMD  EPYC 7543 32C 2.8GHz,AMD Zen-3 (Milan),"2,800",RHEL 8.4,Linux,NVIDIA A100 SXM4 80 GB,32,AMD Milan,Apollo 6500,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Asia,"50,923",180083
55,51,53,22,DGX SuperPOD,"NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR",NVIDIA Corporation,Nvidia,United States,2020,Vendor,"127,488","122,880","9,444.00","11,209.11","2,519,232",,199.20,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,"3,100",Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,Xeon Platinum,NVIDIA DGX-2H Pod,NVIDIA DGX,Infiniband,Mellanox InfiniBand EDR,North America,"48,448",179691
56,52,57,43,JURECA Data Centric Module,"BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2021,Research,"105,840","81,648","9,330.00","14,508.00","1,928,448",,273.78,384.10,Submitted,24.29,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",CentOS,Linux,NVIDIA A100 40GB,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179947
57,53,55,24,Gadi,"PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband",National Computational Infrastructure (NCI Australia),Fujitsu / Lenovo,Australia,2020,Academic,"204,032","51,200","9,264.31","15,142.20","7,150,464",,,,,,,Cluster,Xeon Platinum 8274 24C 3.2GHz,Intel Cascade lake,"3,200",CentOS,Linux,NVIDIA Tesla V100 SXM2,24,Xeon Platinum 82xx (Cascade Lake),PRIMERGY CX2570 M5,Fujitsu PRIMERGY,Infiniband,Mellanox HDR Infiniband,Oceania,"47,369",179865
58,84,57,72,Aitken,"HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband",NASA/Ames Research Center/NAS,HPE,United States,2022,Research,"293,936",,"9,070.00","12,493.06","8,229,600",,172.38,"2,010.10",Submitted,4.51,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",Tri-Lab Operating System ,Linux,None,64,AMD Rome,Apollo 9000,HPE Apollo,Infiniband,Mellanox HDR Infiniband,North America,"48,408",179959
59,54,52,20,Taiwania 2,"QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2",National Center for High Performance Computing,Quanta Computer / Taiwan Fixed Network / ASUS Cloud,Taiwan,2018,Research,"170,352","161,280","9,000.00","15,208.23","2,862,720",,,797.54,Submitted,11.28,,Cluster,Xeon Gold 6154 18C 3GHz,Intel Skylake,"3,000",CentOS,Linux,NVIDIA Tesla V100 SXM2,18,Xeon Gold,QCT QuantaGrid D52G-4U/LC,QCT QuantaGrid,Infiniband,Mellanox InfiniBand EDR,Asia,"48,468",179590
60,55,57,46,Dragão,"Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR",Petróleo Brasileiro S.A,Atos,Brazil,2021,Industry,"188,224","174,080","8,983.00","14,006.48","2,913,408",,,943.12,Submitted,9.52,,Cluster,Xeon Gold 6230R 26C 2.1GHz,Intel Cascade lake,"2,100",CentOS Linux 7,Linux,NVIDIA Tesla V100,26,Xeon Gold 62xx (Cascade Lake),Supermicro SYS-4029GP-TVRT,Supermicro Cluster,Infiniband,Infiniband EDR,South America,"49,587",179941
61,56,57,47,Raven-GPU,"ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband",Max-Planck-Gesellschaft MPI/IPP,Lenovo,Germany,2021,Research,"96,768","82,944","8,620.00","16,031.54","1,959,552",,,377.00,Submitted,22.86,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,"2,400",SUSE Linux Enterprise Server 15 SP2,Linux,NVIDIA A100,36,Xeon® Platinum 83xx (Ice Lake),ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,"48,331",179933
62,57,54,24,AiMOS,"IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband",Rensselaer Polytechnic Institute Center for Computational Innovations (CCI),IBM,United States,2019,Academic,"130,000","120,000","8,339.00","11,032.03","3,809,280",,,512.08,Submitted,16.28,,Cluster,IBM POWER9 20C 3.45GHz,Power,"3,450",RHEL 7.6,Linux,NVIDIA Volta GV100,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Dual-rail Mellanox EDR Infiniband,North America,"50,823",179781
63,58,56,30,Taranis,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100",Meteo France,Atos,France,2020,Research,"294,912",,"8,191.03","10,321.92","7,741,440",,,"1,672.00",Submitted,4.90,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",bullx SCS,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"48,356",179892
64,59,49,62,TSUBAME3.0,"SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2","GSIC Center, Tokyo Institute of Technology",HPE,Japan,2017,Academic,"135,828","120,736","8,125.00","12,127.07","2,126,208",,188.62,792.08,Submitted,10.26,,Cluster,Xeon E5-2680v4 14C 2.4GHz,Intel Broadwell,"2,400",SUSE Linux Enterprise Server 12 SP1,Linux,NVIDIA Tesla P100 NVLink,14,Intel Xeon E5 (Broadwell),"SGI ICE XA (HPE SGI 8600), IP139-SXM2",HPE SGI 8600,Omnipath,Intel Omni-Path,Asia,"47,912",179093
65,60,55,28,Roxy,"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR",Government,HPE,United States,2020,Government,"174,720",,"8,124.48","13,977.60","4,744,704",,,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,"2,500",CentOS Linux 7,Linux,None,20,Xeon Gold 62xx (Cascade Lake),Apollo 2000,HPE Apollo,Infiniband,Infiniband EDR,North America,"50,046",179849
66,61,57,52,HoreKa-Green,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband",Karlsruher Institut für Technologie (KIT) ,Lenovo,Germany,2021,Academic,"90,932","77,328","8,025.60","15,006.79","1,915,200",,,358.79,Submitted,22.37,,Cluster,Xeon Platinum 8368 38C 2.4GHz,Intel Ice Lake,"2,400",Linux,Linux,NVIDIA A100 40GB,38,Xeon® Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,"50,444",179965
67,62,57,53,Narwhal,"HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10",Navy DSRC,HPE,United States,2020,Government,"276,480",,"8,023.60","11,501.57","7,705,360",,,,,,,MPP,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",SLES15 SP2,Linux,None,64,AMD Rome,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,"50,425",179925
68,63,56,33,Plasma Simulator,"SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200",National Institute for Fusion Science (NIFS),NEC,Japan,2020,Research,"34,560",,"7,892.70","10,510.66","5,047,920",,529.16,"1,550.10",Submitted,5.09,,Cluster,Vector Engine Type10AE 8C 1.58GHz,NEC Vector Engine,"1,584",VEOS,Linux,None,8,Vector Engine,SX-Aurora TSUBASA A412-8,SX-Aurora TSUBASA,Infiniband,Infiniband HDR200,Asia,"48,476",179871
69,,59,69,Underhill,"ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",Shared Services Canada,Lenovo,Canada,2022,Government,"148,320",,"7,764.57","10,916.35","3,745,152",,,"1,294.72",Submitted,6.00,,Cluster,Xeon Platinum 8380 40C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,40,Xeon Platinum,ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"50,719",180081
70,,59,70,Robert,"ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR",Shared Services Canada,Lenovo,Canada,2022,Government,"148,320",,"7,764.57","10,916.35","3,745,152",,,"1,294.72",Submitted,6.00,,Cluster,Xeon Platinum 8380 40C 2.3GHz,Intel Skylake,"2,300",Linux,Linux,None,40,Xeon Platinum,ThinkSystem SD650-N V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,"50,719",180082
71,64,55,29,Belenos,"Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100",Meteo France,Atos,France,2020,Research,"294,912",,"7,683.36","10,469.38","6,843,840",,,"1,655.00",Submitted,4.64,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),"2,250",bullx SCS,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"48,356",179853
72,,59,72,alpha ONE,"Apollo 6500, AMD EPYC 7F52 16C 3.5GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",Aleph Alpha,HPE,Germany,2022,Others,"57,344","55,296","7,625.00","7,864.83","1,990,656",,,,,,,Cluster,AMD EPYC 7F52 16C 3.5GHz,AMD Zen-2 (Rome),"3,500",RHEL 8.5,Linux,NVIDIA A100 SXM4 80 GB,16,AMD Rome,Apollo 6500,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Europe,"50,926",180080
73,65,53,26,PupMaya,"Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Government,HPE,United States,2019,Government,"169,920",,"7,483.73","12,902.40","4,748,928",,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",CentOS Linux 7,Linux,None,20,Xeon Gold,Apollo 2000,HPE Apollo,Infiniband,Infiniband EDR,North America,"50,798",179604
74,66,54,26,Artemis,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100",Group 42,Nvidia,United Arab Emirates,2019,Industry,"107,568","103,680","7,257.00","9,492.16","2,304,000",,,673.00,Submitted,10.78,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",Ubuntu,Linux,NVIDIA Tesla V100,24,Xeon Platinum,NVIDIA DGX-2,NVIDIA DGX,Infiniband,Infiniband EDR,Asia,"50,813",179803
75,67,48,11,,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",United Kingdom Meteorological Office,HPE,United Kingdom,2016,Research,"241,920",,"7,038.93","8,128.51","6,705,408",,,,,,,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,"2,100",Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,"49,064",178925
76,68,58,68,Levante,"BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100",DKRZ - Deutsches Klimarechenzentrum,Atos,Germany,2021,Research,"308,096",,"6,998.79","10,276.00","5,482,752",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",Linux,Linux,None,64,AMD Milan,BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"47,642",180039
77,69,54,59,JOLIOT-CURIE ROME,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CEA/TGCC-GENCI,Atos,France,2019,Research,"197,120",,"6,988.04","12,039.37","6,792,576",,,"1,436.00",Submitted,4.87,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",bullx SCS,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"50,414",179700
78,70,48,18,Theta,"Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect ",DOE/SC/Argonne National Laboratory,HPE,United States,2017,Research,"280,320",,"6,920.90","11,661.31","7,680,000",,,,,,,MPP,Intel Xeon Phi 7230 64C 1.3GHz,Intel Xeon Phi,"1,300",Cray Linux Environment ,Linux,None,64,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"47,347",178926
79,71,58,71,"Karolina, GPU partition","Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czechia,2021,Academic,"71,424","62,208","6,752.00","9,080.18","1,710,720",,185.84,310.99,Submitted,21.71,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",CentOS,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Milan,Apollo 6500,HPE Apollo,Infiniband,Infiniband HDR200,Europe,"50,561",180026
80,72,54,29,Christofari,"NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100",SberCloud,Nvidia,Russia,2019,Industry,"99,600","96,000","6,669.00","8,789.76","2,208,000","1,169,680",,,,,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",Ubuntu 18.04.01,Linux,NVIDIA Tesla V100,24,Xeon Platinum,NVIDIA DGX-2,NVIDIA DGX,Infiniband,Mellanox InfiniBand EDR,Europe,"50,820",179778
81,73,55,36,Flow,"PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D","Information Technology Center, Nagoya University",Fujitsu,Japan,2020,Academic,"110,592",,"6,617.80","7,785.68","2,621,440",,230.59,,,,,Cluster,A64FX 48C 2.2GHz,Fujitsu ARM,"2,200",Red Hat Enterprise Linux,Linux,None,48,Fujitsu A64FX,PRIMEHPC FX1000,Fujitsu PRIMEHPC,Proprietary Network,Tofu interconnect D,Asia,"50,495",179808
82,74,49,13,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,"153,216",,"6,470.80","10,296.12","5,990,400",,122.24,"1,632.00",Submitted,3.96,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",SUSE Linux,Linux,None,24,Xeon Platinum,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,"49,748",179067
83,75,49,30,ONYX,"Cray XC40, Xeon E5-2699v4  22C 2.2GHz, Aries interconnect ",ERDC DSRC,HPE,United States,2017,Research,"211,816",,"6,316.03","7,455.92","7,001,472",,,,,,,MPP,Xeon E5-2699v4  22C 2.2GHz,Intel Broadwell,"2,200",Cray Linux Environment ,Linux,None,22,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,"47,771",179100
84,76,58,76,LUMI-C,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10",EuroHPC/CSC,HPE,Finland,2021,Research,"194,560",,"6,299.79","7,626.75","6,201,599",,102.60,"1,215.53",Submitted,5.18,,MPP,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",HPE Cray OS,Linux,None,64,AMD Milan,HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-10,Europe,"50,908",180045
85,,59,85,Titan,"Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband",SKT,HPE,South Korea,2022,Industry,"56,544","49,248","6,291.00","7,188.48","2,200,000",,,,,,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),"2,450",RHEL 8.5,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Milan,Apollo 6500,HPE Apollo,Infiniband,Mellanox HDR Infiniband,Asia,"50,920",180084
86,77,51,23,JUWELS Module 1,"Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite",Forschungszentrum Juelich (FZJ),Atos,Germany,2018,Research,"114,480",,"6,177.73","9,891.07","4,996,992",,75.35,"1,361.00",Submitted,4.54,,Cluster,Xeon Platinum 8168 24C 2.7GHz,Intel Skylake,"2,700",CentOS,Linux,None,24,Xeon Platinum,BullSequana X1000,BullSequana,Infiniband,Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite,Europe,"47,871",179424
87,78,56,45,,"HPE SGI 8600, Xeon Gold 6248R 24C 3GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",Japan Atomic Energy Agency(JAEA)/ National Institutes for Quantum and Radiological Science and Technology(QST),HPE,Japan,2020,Research,"100,096","87,040","6,162.00","8,439.62","2,128,128",,130.23,,,,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,"3,000",RHEL 7.7,Linux,NVIDIA Tesla V100 SXM2,24,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,Asia,"50,860",179896
88,79,57,67,SQUID - CPU Nodes,"NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200",Osaka University,NEC,Japan,2021,Academic,"115,520",,"6,105.10","8,871.94","6,558,880",,82.87,"1,222.20",Submitted,5.00,,Cluster,Xeon Platinum 8368 38C 2.4GHz,Intel Ice Lake,"2,400",CentOS,Linux,None,38,Xeon® Platinum 83xx (Ice Lake),NEC LX 103Bj-8,NEC Cluster,Infiniband,Infiniband HDR200,Asia,"48,585",179934
89,80,54,40,Lise,"Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",HLRN at ZIB/Konrad Zuse-Zentrum Berlin,Atos,Germany,2019,Academic,"121,920",,"6,048.26","8,930.92","6,935,040",,,,,,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",CentOS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Europe,"49,361",179702
90,81,37,7,Pleiades,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR",NASA/Ames Research Center/NAS,HPE,United States,2016,Research,"241,108",,"5,951.55","7,107.15","6,500,160",,175.18,"4,407.00",Submitted,1.35,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,"2,800",SUSE Linux Enterprise Server 11,Linux,None,10,Intel Xeon E5 (IvyBridge),SGI ICE X,SGI ICE,Infiniband,Infiniband FDR,North America,"48,408",177259
91,82,56,47,Emmy+,"BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path",HLRN+ at GWDG/University of Göttingen,Atos,Germany,2020,Academic,"120,296",,"5,948.80","8,911.26","7,253,376",,,,,,"513,792",Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,"2,300",Linux,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),BullSequana X,BullSequana,Omnipath,Intel Omni-Path,Europe,"50,848",179883
92,83,58,83,Narval (GPU),"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100, InfiniBand HDR100",Calcul Québec/Compute Canada,DELL EMC,Canada,2021,Academic,"76,320","68,688","5,886.00","12,165.35","1,769,472",,134.39,311.14,Submitted,18.92,,Cluster,AMD EPYC 7413 24C 2.65GHz,AMD Zen-3 (Milan),"2,650",Rocky Linux 8.4,Linux,NVIDIA A100,24,AMD Milan,PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,North America,"50,800",180032
93,85,54,37,Sawtooth,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ",Idaho National Laboratory,HPE,United States,2019,Research,"99,792",,"5,780.62","9,220.61","6,532,608",,,"1,432.00",Submitted,4.04,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,"2,900",RHEL 7.6,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR/HDR ,North America,"47,650",179708
94,86,51,25,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,"135,792",,"5,730.50","9,125.22","5,667,840",,,"1,353.95",Submitted,4.23,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",Cray Linux Environment ,Linux,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"48,169",179414
95,87,51,26,,"Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect ",Japan Meteorological Agency,Cray Inc./Hitachi,Japan,2018,Research,"135,792",,"5,730.50","9,125.22","5,667,840",,,"1,353.95",Submitted,4.23,,MPP,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,"2,100",Cray Linux Environment ,Linux,None,24,Xeon Platinum,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"48,169",179415
96,88,51,28,COBRA,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Max-Planck-Gesellschaft MPI/IPP,Intel,Germany,2018,Research,"127,520",,"5,612.83","9,793.54","5,213,184",,,"1,635.00",Submitted,3.43,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",SUSE Linux Enterprise Server 12 SP1,Linux,None,20,Xeon Gold,Intel Compute Module HNS2600BP,Intel Cluster,Omnipath,Intel Omni-Path,Europe,"48,331",179423
97,89,45,7,Shaheen II,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",King Abdullah University of Science and Technology,HPE,Saudi Arabia,2015,Academic,"196,608",,"5,536.99","7,235.17","9,738,048",,113.87,"2,834.00",Submitted,1.95,,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,"2,300",Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,"50,205",178515
98,90,52,33,Electra,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",NASA/Ames Research Center/NAS,HPE,United States,2018,Research,"124,416",,"5,444.64","8,316.52","6,931,200",,65.00,"1,685.73",Submitted,3.23,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,"2,400",SLES12 SP2,Linux,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,North America,"48,408",179589
99,91,57,79,Raven,"ThinkSystem SD650 V2, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR 100",Max-Planck-Gesellschaft MPI/IPP,Lenovo,Germany,2021,Research,"114,624",,"5,415.98","8,803.12","4,128,768",,,,,,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,"2,400",SUSE Linux Enterprise Server 15 SP2,Linux,None,36,Xeon® Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,InfiniBand HDR 100,Europe,"48,331",179913
100,92,55,47,MAHTI,"Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100",CSC (Center for Scientific Computing),Atos,Finland,2020,Academic,"169,728",,"5,388.52","7,060.68","6,362,304",,,"1,070.00",Submitted,5.04,,Cluster,AMD Rome 7H12 64C 2.6GHz,AMD Zen-2 (Rome),"2,600",bullx SCS,Linux,None,64,AMD Rome,BullSequana XH2000,BullSequana,Infiniband,InfiniBand HDR100,Europe,"47,508",179855
